,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
23,AAPL240628P00200000,2024-06-21 19:59:59+00:00,200.0,0.41,0.37,0.42,0.03999999,10.810808,32520.0,13000,0.21851367431640623,False,REGULAR,USD
24,AAPL240628P00202500,2024-06-21 19:59:58+00:00,202.5,0.75,0.69,0.8,0.089999974,13.636359,5256.0,4694,0.2111895288085937,False,REGULAR,USD
25,AAPL240628P00205000,2024-06-21 19:59:59+00:00,205.0,1.41,1.33,1.42,0.30999994,28.181812,25704.0,6616,0.20264469238281246,False,REGULAR,USD
26,AAPL240628P00207500,2024-06-21 19:59:59+00:00,207.5,2.46,2.36,2.5,0.6,32.258068,20568.0,5838,0.2036212451171875,True,REGULAR,USD
27,AAPL240628P00210000,2024-06-21 19:59:59+00:00,210.0,4.0,2.98,4.05,1.0,33.333332,30986.0,13250,0.21131159790039059,True,REGULAR,USD
28,AAPL240628P00212500,2024-06-21 19:59:58+00:00,212.5,5.57,4.9,6.0,1.0700002,23.77778,10243.0,3682,0.2268143725585937,True,REGULAR,USD
29,AAPL240628P00215000,2024-06-21 19:59:58+00:00,215.0,7.95,6.65,8.35,1.3999996,21.37404,3660.0,7187,0.26709717285156254,True,REGULAR,USD
30,AAPL240628P00217500,2024-06-21 19:58:52+00:00,217.5,9.7,9.25,11.0,1.3099995,15.613818,666.0,2054,0.33814138427734375,True,REGULAR,USD
31,AAPL240628P00220000,2024-06-21 19:57:35+00:00,220.0,11.85,11.85,14.1,1.2700005,12.003785,154.0,4567,0.4621635815429688,True,REGULAR,USD
32,AAPL240628P00225000,2024-06-21 19:57:43+00:00,225.0,17.6,16.4,19.0,2.6800003,17.96247,106.0,122,0.5515181567382813,True,REGULAR,USD
